Lottery Date,Lottery Numbers
 Wednesday21st December 2005 , 5 6 12 13 31 45 24 
 Saturday17th December 2005 , 7 11 15 21 35 47 43 
 Wednesday14th December 2005 , 7 9 17 22 27 40 41 
 Saturday10th December 2005 , 20 23 25 30 31 48 10 
 Wednesday7th December 2005 , 2 8 11 12 22 26 46 
 Saturday3rd December 2005 , 2 10 11 28 36 47 33 
 Wednesday30th November 2005 , 7 14 29 37 41 45 4 
 Saturday26th November 2005 , 19 27 28 34 39 46 7 
 Wednesday23rd November 2005 , 14 33 36 39 42 46 13 
 Saturday19th November 2005 , 4 9 10 19 24 37 28 
 Wednesday16th November 2005 , 4 9 22 24 30 41 20 
 Saturday12th November 2005 , 12 13 25 30 45 47 42 
 Wednesday9th November 2005 , 1 15 23 30 45 49 33 
 Saturday5th November 2005 , 12 13 21 26 32 39 17 
 Wednesday2nd November 2005 , 19 25 32 47 48 49 28 
 Saturday29th October 2005 , 2 5 13 30 39 49 3 
 Wednesday26th October 2005 , 10 14 26 28 33 38 23 
 Saturday22nd October 2005 , 18 20 22 30 32 39 3 
 Wednesday19th October 2005 , 7 18 20 21 29 47 31 
 Saturday15th October 2005 , 4 7 29 30 42 44 39 
 Wednesday12th October 2005 , 5 7 13 15 19 45 38 
 Saturday8th October 2005 , 1 14 20 22 25 26 9 
 Wednesday5th October 2005 , 14 17 23 30 34 42 19 
 Saturday1st October 2005 , 4 6 31 42 46 47 11 
 Wednesday28th September 2005 , 21 32 41 42 43 46 17 
 Saturday24th September 2005 , 2 11 27 29 36 44 15 
 Wednesday21st September 2005 , 2 23 33 35 40 42 25 
 Saturday17th September 2005 , 9 21 23 31 40 46 8 
 Wednesday14th September 2005 , 15 20 22 25 35 39 36 
 Saturday10th September 2005 , 1 8 24 27 34 46 30 
 Wednesday7th September 2005 , 1 5 7 41 43 49 45 
 Saturday3rd September 2005 , 14 26 34 35 36 45 32 
 Wednesday31st August 2005 , 4 10 14 21 32 49 44 
 Saturday27th August 2005 , 6 13 17 23 32 43 49 
 Wednesday24th August 2005 , 1 40 43 44 48 49 2 
 Saturday20th August 2005 , 7 11 12 20 38 44 45 
 Wednesday17th August 2005 , 3 10 13 22 31 33 15 
 Saturday13th August 2005 , 19 22 30 35 44 48 3 
 Wednesday10th August 2005 , 8 15 30 31 34 43 40 
 Saturday6th August 2005 , 3 6 7 17 30 34 8 
 Wednesday3rd August 2005 , 2 10 30 36 37 43 29 
 Saturday30th July 2005 , 3 9 13 35 43 45 8 
 Wednesday27th July 2005 , 10 12 13 17 31 37 44 
 Saturday23rd July 2005 , 7 12 16 24 29 37 44 
 Wednesday20th July 2005 , 4 29 39 41 43 45 42 
 Saturday16th July 2005 , 2 3 21 24 38 44 47 
 Wednesday13th July 2005 , 3 25 36 39 42 47 23 
 Saturday9th July 2005 , 7 20 22 23 34 37 38 
 Wednesday6th July 2005 , 3 12 17 36 44 49 20 
 Saturday2nd July 2005 , 8 25 33 35 38 40 7 
 Wednesday29th June 2005 , 7 12 23 26 29 44 31 
 Saturday25th June 2005 , 15 23 27 38 44 49 34 
 Wednesday22nd June 2005 , 1 4 7 44 47 48 14 
 Saturday18th June 2005 , 4 7 26 41 42 49 37 
 Wednesday15th June 2005 , 7 11 12 37 42 45 4 
 Saturday11th June 2005 , 1 2 18 25 34 45 31 
 Wednesday8th June 2005 , 11 13 26 34 44 48 2 
 Saturday4th June 2005 , 6 8 13 15 21 40 35 
 Wednesday1st June 2005 , 3 11 17 19 20 41 6 
 Saturday28th May 2005 , 10 16 21 24 34 46 30 
 Wednesday25th May 2005 , 14 18 29 33 37 39 47 
 Saturday21st May 2005 , 14 34 38 43 47 48 9 
 Wednesday18th May 2005 , 4 19 22 27 28 47 41 
 Saturday14th May 2005 , 12 18 22 33 43 48 25 
 Wednesday11th May 2005 , 1 6 11 17 29 43 8 
 Saturday7th May 2005 , 2 6 21 34 35 49 46 
 Wednesday4th May 2005 , 30 35 38 41 45 48 46 
 Saturday30th April 2005 , 2 23 26 30 39 47 31 
 Wednesday27th April 2005 , 2 15 20 24 32 47 29 
 Saturday23rd April 2005 , 3 18 25 29 31 43 23 
 Wednesday20th April 2005 , 13 26 27 38 41 43 35 
 Saturday16th April 2005 , 25 26 32 39 40 42 41 
 Wednesday13th April 2005 , 14 23 36 40 41 48 6 
 Saturday9th April 2005 , 14 22 25 27 45 47 8 
 Wednesday6th April 2005 , 22 26 36 43 45 49 6 
 Saturday2nd April 2005 , 18 26 27 29 34 42 36 
 Wednesday30th March 2005 , 1 11 23 26 29 31 39 
 Saturday26th March 2005 , 5 21 23 28 40 48 26 
 Wednesday23rd March 2005 , 12 14 25 30 32 38 42 
 Saturday19th March 2005 , 6 8 18 33 43 49 27 
 Wednesday16th March 2005 , 3 7 9 21 35 39 32 
 Saturday12th March 2005 , 1 2 8 9 41 48 29 
 Wednesday9th March 2005 , 14 21 25 39 40 47 20 
 Saturday5th March 2005 , 6 19 24 26 27 49 8 
 Wednesday2nd March 2005 , 3 6 15 16 33 48 43 
 Saturday26th February 2005 , 8 14 25 40 43 48 33 
 Wednesday23rd February 2005 , 17 25 30 32 36 37 6 
 Saturday19th February 2005 , 10 16 19 30 35 45 6 
 Wednesday16th February 2005 , 9 13 18 29 30 49 41 
 Saturday12th February 2005 , 11 18 20 23 32 48 25 
 Wednesday9th February 2005 , 12 18 22 24 32 33 17 
 Saturday5th February 2005 , 19 22 33 36 43 44 1 
 Wednesday2nd February 2005 , 2 19 28 33 44 49 21 
 Saturday29th January 2005 , 3 8 27 38 44 46 35 
 Wednesday26th January 2005 , 3 12 14 22 33 40 19 
 Saturday22nd January 2005 , 5 15 23 30 34 42 14 
 Wednesday19th January 2005 , 15 24 28 33 34 47 37 
 Saturday15th January 2005 , 5 20 30 32 35 38 9 
 Wednesday12th January 2005 , 4 5 31 33 38 42 41 
 Saturday8th January 2005 , 7 10 17 28 29 33 36 
 Wednesday5th January 2005 , 5 8 15 20 42 48 40 
 Saturday1st January 2005 , 4 6 9 12 15 40 25 
 Saturday30th December 2006 , 1 2 7 11 37 45 14 
 Wednesday27th December 2006 , 16 27 29 34 39 45 19 
 Saturday23rd December 2006 , 10 16 24 37 44 49 4 
 Wednesday20th December 2006 , 4 10 21 22 25 38 31 
 Saturday16th December 2006 , 5 8 11 27 30 46 34 
 Wednesday13th December 2006 , 4 12 14 20 46 49 24 
 Saturday9th December 2006 , 5 8 10 18 20 46 43 
 Wednesday6th December 2006 , 2 5 9 12 22 32 34 
 Saturday2nd December 2006 , 9 11 15 31 42 46 27 
 Wednesday29th November 2006 , 17 20 31 40 42 46 1 
 Saturday25th November 2006 , 4 7 31 38 44 48 1 
 Wednesday22nd November 2006 , 14 15 24 31 45 49 34 
 Saturday18th November 2006 , 1 19 20 32 42 46 49 
 Wednesday15th November 2006 , 2 3 17 22 40 42 12 
 Saturday11th November 2006 , 23 24 28 33 34 41 18 
 Wednesday8th November 2006 , 2 18 31 38 39 46 42 
 Saturday4th November 2006 , 17 30 33 40 42 43 34 
 Wednesday1st November 2006 , 9 13 14 20 31 35 32 
 Saturday28th October 2006 , 4 5 6 12 20 29 30 
 Wednesday25th October 2006 , 2 7 10 14 16 22 43 
 Saturday21st October 2006 , 15 18 23 31 37 49 38 
 Wednesday18th October 2006 , 6 12 36 39 41 48 17 
 Saturday14th October 2006 , 8 15 24 31 37 42 45 
 Wednesday11th October 2006 , 14 16 24 26 27 39 6 
 Saturday7th October 2006 , 4 13 23 24 26 36 45 
 Wednesday4th October 2006 , 12 14 16 19 27 32 44 
 Saturday30th September 2006 , 8 12 13 19 26 38 11 
 Wednesday27th September 2006 , 2 3 16 27 44 48 24 
 Saturday23rd September 2006 , 6 26 28 35 42 43 38 
 Wednesday20th September 2006 , 3 21 29 35 38 45 46 
 Saturday16th September 2006 , 11 12 16 33 34 43 28 
 Wednesday13th September 2006 , 8 15 17 40 43 48 21 
 Saturday9th September 2006 , 2 15 21 37 43 46 36 
 Wednesday6th September 2006 , 5 7 14 29 37 38 12 
 Saturday2nd September 2006 , 3 8 20 22 34 40 38 
 Wednesday30th August 2006 , 19 21 22 38 44 49 45 
 Saturday26th August 2006 , 10 17 24 31 42 49 5 
 Wednesday23rd August 2006 , 6 16 20 21 23 37 40 
 Saturday19th August 2006 , 6 29 31 34 40 48 4 
 Wednesday16th August 2006 , 4 8 16 20 25 31 43 
 Saturday12th August 2006 , 24 30 38 43 46 49 6 
 Wednesday9th August 2006 , 2 4 12 16 18 41 48 
 Saturday5th August 2006 , 3 11 13 18 26 31 35 
 Wednesday2nd August 2006 , 5 8 9 18 41 47 49 
 Saturday29th July 2006 , 4 5 16 19 21 49 20 
 Wednesday26th July 2006 , 7 17 27 30 33 39 6 
 Saturday22nd July 2006 , 20 22 23 26 31 47 2 
 Wednesday19th July 2006 , 4 21 25 37 45 46 6 
 Saturday15th July 2006 , 6 12 19 20 38 39 13 
 Wednesday12th July 2006 , 18 20 26 27 28 39 45 
 Saturday8th July 2006 , 6 10 19 29 32 42 13 
 Wednesday5th July 2006 , 7 17 29 33 42 45 24 
 Saturday1st July 2006 , 18 28 33 37 39 42 15 
 Wednesday28th June 2006 , 11 12 34 39 44 48 21 
 Saturday24th June 2006 , 9 14 21 23 39 44 19 
 Wednesday21st June 2006 , 8 16 27 38 44 49 31 
 Saturday17th June 2006 , 25 26 33 40 41 47 10 
 Wednesday14th June 2006 , 4 7 10 33 35 49 46 
 Saturday10th June 2006 , 14 27 32 39 41 47 12 
 Wednesday7th June 2006 , 6 9 11 14 33 48 31 
 Saturday3rd June 2006 , 4 6 7 9 28 39 20 
 Wednesday31st May 2006 , 4 16 32 34 35 37 1 
 Saturday27th May 2006 , 5 8 12 24 28 31 22 
 Wednesday24th May 2006 , 1 17 25 29 41 46 6 
 Saturday20th May 2006 , 6 16 17 22 24 45 48 
 Wednesday17th May 2006 , 3 10 19 33 35 38 8 
 Saturday13th May 2006 , 3 15 21 22 36 47 27 
 Wednesday10th May 2006 , 8 13 28 32 36 46 15 
 Saturday6th May 2006 , 2 7 11 21 33 34 8 
 Wednesday3rd May 2006 , 9 11 22 39 40 42 12 
 Saturday29th April 2006 , 10 29 31 32 36 47 17 
 Wednesday26th April 2006 , 1 27 32 33 45 48 25 
 Saturday22nd April 2006 , 9 24 30 40 42 48 15 
 Wednesday19th April 2006 , 3 9 33 44 47 49 38 
 Saturday15th April 2006 , 7 15 19 23 37 48 45 
 Wednesday12th April 2006 , 7 19 26 38 44 49 24 
 Saturday8th April 2006 , 5 6 7 18 28 40 12 
 Wednesday5th April 2006 , 1 2 16 22 26 49 15 
 Saturday1st April 2006 , 9 17 18 21 23 39 45 
 Wednesday29th March 2006 , 2 6 18 36 37 44 19 
 Saturday25th March 2006 , 2 6 10 17 29 30 9 
 Wednesday22nd March 2006 , 4 8 16 19 34 40 38 
 Saturday18th March 2006 , 7 10 22 24 34 44 18 
 Wednesday15th March 2006 , 1 14 21 30 35 48 24 
 Saturday11th March 2006 , 4 9 13 29 31 36 16 
 Wednesday8th March 2006 , 1 11 14 35 37 42 26 
 Saturday4th March 2006 , 1 16 22 32 33 40 48 
 Wednesday1st March 2006 , 15 16 19 28 38 42 20 
 Saturday25th February 2006 , 7 14 24 37 43 48 29 
 Wednesday22nd February 2006 , 5 9 27 35 42 43 14 
 Saturday18th February 2006 , 9 23 32 35 36 40 5 
 Wednesday15th February 2006 , 5 11 12 16 17 45 42 
 Saturday11th February 2006 , 4 9 15 25 30 40 42 
 Wednesday8th February 2006 , 9 27 28 31 41 42 25 
 Saturday4th February 2006 , 1 3 6 22 23 39 21 
 Wednesday1st February 2006 , 5 11 13 17 44 48 25 
 Saturday28th January 2006 , 9 18 22 29 30 48 23 
 Wednesday25th January 2006 , 9 14 15 18 26 46 45 
 Saturday21st January 2006 , 1 25 26 27 39 49 37 
 Wednesday18th January 2006 , 2 3 7 24 46 47 36 
 Saturday14th January 2006 , 4 8 16 23 28 47 34 
 Wednesday11th January 2006 , 5 6 8 19 34 38 11 
 Saturday7th January 2006 , 8 14 19 28 29 48 6 
 Wednesday4th January 2006 , 7 13 31 43 45 47 23 
 Saturday29th December 2007 , 4 13 23 28 30 32 11 
 Wednesday26th December 2007 , 8 14 18 23 27 44 48 
 Saturday22nd December 2007 , 11 13 14 16 21 44 35 
 Wednesday19th December 2007 , 11 13 21 33 36 47 3 
 Saturday15th December 2007 , 12 22 25 43 46 49 10 
 Wednesday12th December 2007 , 19 20 23 42 44 45 7 
 Saturday8th December 2007 , 4 6 10 11 24 33 26 
 Wednesday5th December 2007 , 2 8 13 18 26 39 10 
 Saturday1st December 2007 , 12 24 33 36 39 42 21 
 Wednesday28th November 2007 , 11 15 25 33 44 45 17 
 Saturday24th November 2007 , 1 14 25 37 39 47 38 
 Wednesday21st November 2007 , 6 8 24 25 32 47 15 
 Saturday17th November 2007 , 11 16 20 22 27 46 29 
 Wednesday14th November 2007 , 4 5 21 35 37 42 14 
 Saturday10th November 2007 , 5 11 13 18 25 35 7 
 Wednesday7th November 2007 , 2 6 9 13 17 36 4 
 Saturday3rd November 2007 , 3 10 22 25 31 49 4 
 Wednesday31st October 2007 , 9 12 20 25 33 35 17 
 Saturday27th October 2007 , 6 8 10 13 22 32 3 
 Wednesday24th October 2007 , 14 16 24 28 45 48 29 
 Saturday20th October 2007 , 4 15 25 27 33 40 20 
 Wednesday17th October 2007 , 10 12 22 32 45 46 27 
 Saturday13th October 2007 , 7 11 12 36 38 39 44 
 Wednesday10th October 2007 , 1 9 24 27 36 45 49 
 Saturday6th October 2007 , 5 6 18 22 24 38 10 
 Wednesday3rd October 2007 , 1 17 24 26 30 49 14 
 Saturday29th September 2007 , 1 9 10 11 16 49 37 
 Wednesday26th September 2007 , 2 8 16 24 32 41 4 
 Saturday22nd September 2007 , 3 12 15 18 30 31 25 
 Wednesday19th September 2007 , 2 5 6 13 25 47 45 
 Saturday15th September 2007 , 3 7 12 21 25 36 24 
 Wednesday12th September 2007 , 4 13 18 21 30 46 5 
 Saturday8th September 2007 , 4 10 20 24 39 49 31 
 Wednesday5th September 2007 , 11 24 26 35 39 40 38 
 Saturday1st September 2007 , 3 27 34 41 42 48 8 
 Wednesday29th August 2007 , 4 6 11 17 31 41 44 
 Saturday25th August 2007 , 7 13 17 33 40 42 8 
 Wednesday22nd August 2007 , 18 31 35 39 40 42 32 
 Saturday18th August 2007 , 2 12 26 32 37 47 22 
 Wednesday15th August 2007 , 2 5 15 34 35 43 12 
 Saturday11th August 2007 , 6 10 11 19 22 46 40 
 Wednesday8th August 2007 , 3 9 12 13 20 43 7 
 Saturday4th August 2007 , 12 23 25 26 34 49 4 
 Wednesday1st August 2007 , 3 6 15 23 28 42 40 
 Saturday28th July 2007 , 4 18 22 27 44 48 33 
 Wednesday25th July 2007 , 3 18 21 24 36 38 20 
 Saturday21st July 2007 , 3 10 21 25 29 49 20 
 Wednesday18th July 2007 , 12 31 33 39 41 45 23 
 Saturday14th July 2007 , 15 27 35 37 38 39 11 
 Wednesday11th July 2007 , 3 9 10 12 46 47 22 
 Saturday7th July 2007 , 16 22 28 30 33 35 37 
 Wednesday4th July 2007 , 3 13 22 32 44 46 26 
 Saturday30th June 2007 , 10 11 17 34 38 46 48 
 Wednesday27th June 2007 , 7 13 23 40 41 48 1 
 Saturday23rd June 2007 , 6 12 19 25 31 41 21 
 Wednesday20th June 2007 , 13 16 22 43 47 49 28 
 Saturday16th June 2007 , 8 17 33 41 43 45 37 
 Wednesday13th June 2007 , 13 19 24 30 40 48 31 
 Saturday9th June 2007 , 2 3 23 33 40 46 30 
 Wednesday6th June 2007 , 7 21 22 28 37 40 1 
 Saturday2nd June 2007 , 1 10 33 35 38 43 34 
 Wednesday30th May 2007 , 2 20 22 25 41 47 37 
 Saturday26th May 2007 , 3 15 19 24 28 34 17 
 Wednesday23rd May 2007 , 3 19 31 32 36 40 43 
 Saturday19th May 2007 , 17 19 20 32 36 48 18 
 Wednesday16th May 2007 , 9 20 22 24 27 28 12 
 Saturday12th May 2007 , 3 6 9 12 40 43 44 
 Wednesday9th May 2007 , 8 9 19 34 47 49 4 
 Saturday5th May 2007 , 4 33 34 38 39 49 23 
 Wednesday2nd May 2007 , 11 18 25 27 39 44 34 
 Saturday28th April 2007 , 11 17 24 28 41 47 48 
 Wednesday25th April 2007 , 1 7 25 31 32 39 18 
 Saturday21st April 2007 , 14 20 21 30 41 46 6 
 Wednesday18th April 2007 , 8 11 17 30 32 41 47 
 Saturday14th April 2007 , 13 16 23 29 36 49 14 
 Wednesday11th April 2007 , 8 11 21 32 35 42 47 
 Saturday7th April 2007 , 23 24 30 31 33 37 20 
 Wednesday4th April 2007 , 11 14 19 35 46 49 17 
 Saturday31st March 2007 , 3 35 39 42 44 48 41 
 Wednesday28th March 2007 , 2 5 19 23 32 41 38 
 Saturday24th March 2007 , 9 14 26 28 30 45 38 
 Wednesday21st March 2007 , 15 19 29 35 44 45 7 
 Saturday17th March 2007 , 1 9 14 20 43 44 32 
 Wednesday14th March 2007 , 6 21 24 38 39 48 41 
 Saturday10th March 2007 , 1 9 16 34 38 41 4 
 Wednesday7th March 2007 , 4 14 25 35 42 48 37 
 Saturday3rd March 2007 , 1 5 11 19 28 36 38 
 Wednesday28th February 2007 , 4 15 34 40 44 46 45 
 Saturday24th February 2007 , 5 18 26 34 42 49 8 
 Wednesday21st February 2007 , 1 6 26 34 39 42 25 
 Saturday17th February 2007 , 6 18 40 43 47 49 32 
 Wednesday14th February 2007 , 1 2 4 38 42 43 23 
 Saturday10th February 2007 , 22 26 38 39 41 42 8 
 Wednesday7th February 2007 , 6 16 18 29 30 35 48 
 Saturday3rd February 2007 , 13 17 39 46 47 49 48 
 Wednesday31st January 2007 , 13 14 21 30 43 49 17 
 Saturday27th January 2007 , 4 15 21 23 24 38 36 
 Wednesday24th January 2007 , 2 8 10 31 46 48 12 
 Saturday20th January 2007 , 4 7 26 28 39 49 47 
 Wednesday17th January 2007 , 12 17 21 25 31 37 30 
 Saturday13th January 2007 , 5 8 12 20 28 48 40 
 Wednesday10th January 2007 , 1 2 13 29 33 49 6 
 Saturday6th January 2007 , 15 25 29 35 39 40 11 
 Wednesday3rd January 2007 , 4 6 30 36 43 44 20 
 Wednesday31st December 2008 , 3 11 15 33 36 45 38 
 Saturday27th December 2008 , 7 10 24 39 40 42 5 
 Wednesday24th December 2008 , 2 10 24 31 37 47 38 
 Saturday20th December 2008 , 3 9 11 23 36 44 25 
 Wednesday17th December 2008 , 10 15 17 26 46 49 47 
 Saturday13th December 2008 , 2 4 16 28 37 47 5 
 Wednesday10th December 2008 , 9 11 23 27 29 33 36 
 Saturday6th December 2008 , 10 12 20 37 39 48 31 
 Wednesday3rd December 2008 , 4 12 19 21 34 44 38 
 Saturday29th November 2008 , 10 34 35 39 43 47 33 
 Wednesday26th November 2008 , 3 6 13 23 27 49 16 
 Saturday22nd November 2008 , 4 12 34 35 38 48 27 
 Wednesday19th November 2008 , 5 7 18 27 31 33 29 
 Saturday15th November 2008 , 14 17 30 37 38 41 49 
 Wednesday12th November 2008 , 1 5 13 20 27 45 14 
 Saturday8th November 2008 , 15 24 26 27 33 34 23 
 Wednesday5th November 2008 , 2 11 13 27 34 43 25 
 Saturday1st November 2008 , 18 19 25 30 33 43 4 
 Wednesday29th October 2008 , 6 10 12 15 20 27 26 
 Saturday25th October 2008 , 1 20 31 38 43 46 36 
 Wednesday22nd October 2008 , 1 12 29 35 37 40 25 
 Saturday18th October 2008 , 3 10 12 30 39 40 23 
 Wednesday15th October 2008 , 1 8 15 18 34 38 19 
 Saturday11th October 2008 , 20 21 23 24 27 28 33 
 Wednesday8th October 2008 , 9 13 24 25 42 48 5 
 Saturday4th October 2008 , 17 18 28 29 32 40 39 
 Wednesday1st October 2008 , 6 27 29 38 42 49 30 
 Saturday27th September 2008 , 11 21 27 38 40 44 2 
 Wednesday24th September 2008 , 1 14 21 24 35 46 38 
 Saturday20th September 2008 , 5 15 20 22 24 47 45 
 Wednesday17th September 2008 , 3 9 11 24 29 43 25 
 Saturday13th September 2008 , 5 21 28 29 40 44 35 
 Wednesday10th September 2008 , 7 15 16 19 22 48 38 
 Saturday6th September 2008 , 4 6 9 13 35 36 46 
 Wednesday3rd September 2008 , 3 5 7 9 24 35 11 
 Saturday30th August 2008 , 2 14 27 31 36 44 48 
 Wednesday27th August 2008 , 8 14 33 34 35 43 12 
 Saturday23rd August 2008 , 9 16 23 26 27 42 44 
 Wednesday20th August 2008 , 1 29 32 33 34 38 6 
 Saturday16th August 2008 , 2 3 9 34 35 41 46 
 Wednesday13th August 2008 , 5 9 10 11 23 26 12 
 Saturday9th August 2008 , 9 10 17 29 33 40 15 
 Wednesday6th August 2008 , 7 9 23 30 47 49 18 
 Saturday2nd August 2008 , 8 15 23 32 35 49 9 
 Wednesday30th July 2008 , 4 26 28 32 44 46 7 
 Saturday26th July 2008 , 3 11 19 24 33 35 9 
 Wednesday23rd July 2008 , 15 17 33 35 39 40 49 
 Saturday19th July 2008 , 6 9 13 18 29 30 37 
 Wednesday16th July 2008 , 3 12 17 18 22 42 19 
 Saturday12th July 2008 , 16 27 28 29 30 42 43 
 Wednesday9th July 2008 , 2 3 9 15 26 29 19 
 Saturday5th July 2008 , 2 22 26 28 30 39 12 
 Wednesday2nd July 2008 , 3 4 12 23 30 31 33 
 Saturday28th June 2008 , 7 12 19 23 46 48 28 
 Wednesday25th June 2008 , 11 12 22 23 24 36 26 
 Saturday21st June 2008 , 8 9 11 16 18 22 36 
 Wednesday18th June 2008 , 12 26 34 39 40 45 19 
 Saturday14th June 2008 , 7 16 17 23 29 34 4 
 Wednesday11th June 2008 , 1 8 22 28 35 44 19 
 Saturday7th June 2008 , 5 9 14 37 38 44 42 
 Wednesday4th June 2008 , 19 27 35 37 39 42 23 
 Saturday31st May 2008 , 15 20 22 34 37 39 17 
 Wednesday28th May 2008 , 10 25 28 36 45 48 40 
 Saturday24th May 2008 , 3 6 10 26 30 38 15 
 Wednesday21st May 2008 , 2 23 38 41 47 49 1 
 Saturday17th May 2008 , 3 11 12 41 46 47 20 
 Wednesday14th May 2008 , 3 4 29 34 41 42 25 
 Saturday10th May 2008 , 4 14 18 24 32 40 37 
 Wednesday7th May 2008 , 9 10 12 16 30 31 3 
 Saturday3rd May 2008 , 2 15 17 32 36 42 4 
 Wednesday30th April 2008 , 15 31 33 35 41 44 9 
 Saturday26th April 2008 , 1 4 16 37 39 40 35 
 Wednesday23rd April 2008 , 10 15 23 34 39 41 33 
 Saturday19th April 2008 , 5 19 24 38 42 46 27 
 Wednesday16th April 2008 , 4 10 14 29 31 38 43 
 Saturday12th April 2008 , 4 17 22 44 46 49 26 
 Wednesday9th April 2008 , 1 6 8 14 17 32 12 
 Saturday5th April 2008 , 7 23 30 41 45 49 2 
 Wednesday2nd April 2008 , 2 6 21 23 43 47 29 
 Saturday29th March 2008 , 11 17 28 31 40 43 39 
 Wednesday26th March 2008 , 3 22 27 33 45 48 17 
 Saturday22nd March 2008 , 7 11 14 27 45 48 37 
 Wednesday19th March 2008 , 5 21 22 25 27 35 14 
 Saturday15th March 2008 , 2 23 37 40 48 49 29 
 Wednesday12th March 2008 , 1 13 26 38 41 47 7 
 Saturday8th March 2008 , 4 15 18 30 31 47 9 
 Wednesday5th March 2008 , 8 14 16 39 43 47 38 
 Saturday1st March 2008 , 1 8 12 20 29 49 4 
 Wednesday27th February 2008 , 16 29 30 32 38 45 40 
 Saturday23rd February 2008 , 8 11 16 25 39 46 37 
 Wednesday20th February 2008 , 7 17 29 31 39 44 4 
 Saturday16th February 2008 , 9 18 21 24 37 48 22 
 Wednesday13th February 2008 , 9 14 24 28 32 41 13 
 Saturday9th February 2008 , 2 14 26 29 31 40 7 
 Wednesday6th February 2008 , 2 5 12 15 30 48 38 
 Saturday2nd February 2008 , 5 7 18 22 25 34 12 
 Wednesday30th January 2008 , 7 8 27 37 40 46 1 
 Saturday26th January 2008 , 1 2 6 13 38 43 24 
 Wednesday23rd January 2008 , 4 12 13 15 30 36 42 
 Saturday19th January 2008 , 6 10 30 32 43 45 23 
 Wednesday16th January 2008 , 8 13 17 22 29 42 43 
 Saturday12th January 2008 , 6 11 15 18 34 45 43 
 Wednesday9th January 2008 , 14 24 26 28 44 49 45 
 Saturday5th January 2008 , 2 3 12 20 33 49 11 
 Wednesday2nd January 2008 , 13 15 25 31 37 39 41 
 Wednesday30th December 2009 , 5 14 27 29 34 35 4 
 Saturday26th December 2009 , 2 8 23 25 36 42 30 
 Wednesday23rd December 2009 , 15 18 26 32 36 37 22 
 Saturday19th December 2009 , 1 20 28 33 40 45 35 
 Wednesday16th December 2009 , 2 20 34 35 40 44 49 
 Saturday12th December 2009 , 3 13 22 23 39 45 4 
 Wednesday9th December 2009 , 5 13 31 36 40 41 6 
 Saturday5th December 2009 , 8 20 36 43 45 49 12 
 Wednesday2nd December 2009 , 2 19 22 25 34 47 28 
 Saturday28th November 2009 , 3 4 27 30 36 47 8 
 Wednesday25th November 2009 , 3 6 11 17 23 29 44 
 Saturday21st November 2009 , 9 24 30 32 36 40 35 
 Wednesday18th November 2009 , 1 4 12 13 18 19 38 
 Saturday14th November 2009 , 1 5 9 20 23 39 38 
 Wednesday11th November 2009 , 4 6 12 31 38 48 29 
 Saturday7th November 2009 , 19 21 39 44 45 49 47 
 Wednesday4th November 2009 , 1 2 23 39 42 49 5 
 Saturday31st October 2009 , 12 18 26 35 40 44 49 
 Wednesday28th October 2009 , 24 25 34 38 41 43 11 
 Saturday24th October 2009 , 5 9 12 31 32 38 3 
 Wednesday21st October 2009 , 6 12 16 19 33 44 20 
 Saturday17th October 2009 , 11 25 27 32 37 43 3 
 Wednesday14th October 2009 , 5 11 24 32 35 42 20 
 Saturday10th October 2009 , 17 36 37 40 43 45 34 
 Wednesday7th October 2009 , 26 27 28 43 45 46 5 
 Saturday3rd October 2009 , 14 21 23 32 36 46 17 
 Wednesday30th September 2009 , 2 10 15 28 36 41 8 
 Saturday26th September 2009 , 3 5 17 32 40 43 29 
 Wednesday23rd September 2009 , 23 25 28 41 46 47 27 
 Saturday19th September 2009 , 18 20 31 33 43 45 1 
 Wednesday16th September 2009 , 18 23 34 44 46 48 6 
 Saturday12th September 2009 , 18 20 24 30 43 44 47 
 Wednesday9th September 2009 , 2 11 23 28 35 39 15 
 Saturday5th September 2009 , 12 19 22 26 36 41 39 
 Wednesday2nd September 2009 , 2 4 7 27 28 35 21 
 Saturday29th August 2009 , 9 18 34 37 39 47 5 
 Wednesday26th August 2009 , 3 9 11 17 27 48 6 
 Saturday22nd August 2009 , 18 23 24 36 43 44 21 
 Wednesday19th August 2009 , 10 23 26 30 41 45 49 
 Saturday15th August 2009 , 16 31 32 46 47 48 34 
 Wednesday12th August 2009 , 9 20 21 27 39 40 14 
 Saturday8th August 2009 , 9 17 26 32 33 36 6 
 Wednesday5th August 2009 , 1 16 18 32 39 44 33 
 Saturday1st August 2009 , 2 6 27 28 40 49 14 
 Wednesday29th July 2009 , 3 13 19 20 23 26 1 
 Saturday25th July 2009 , 8 17 30 32 38 40 4 
 Wednesday22nd July 2009 , 2 22 23 31 35 40 20 
 Saturday18th July 2009 , 9 27 28 33 39 41 12 
 Wednesday15th July 2009 , 5 8 10 29 39 41 15 
 Saturday11th July 2009 , 4 6 10 28 35 39 8 
 Wednesday8th July 2009 , 10 16 21 22 35 49 31 
 Saturday4th July 2009 , 14 16 26 39 44 48 23 
 Wednesday1st July 2009 , 1 2 11 31 38 43 46 
 Saturday27th June 2009 , 9 17 25 26 31 42 7 
 Wednesday24th June 2009 , 10 17 20 21 23 31 32 
 Saturday20th June 2009 , 3 4 17 24 29 40 46 
