Lottery Date,Lottery Numbers
 Saturday12th July 1997 , 4 9 27 37 44 45 7 
 Wednesday9th July 1997 , 3 5 13 22 24 43 23 
 Saturday5th July 1997 , 1 4 11 36 43 44 41 
 Wednesday2nd July 1997 , 6 10 18 22 41 45 29 
 Saturday28th June 1997 , 2 9 14 36 43 48 27 
 Wednesday25th June 1997 , 12 17 27 28 38 40 6 
 Saturday21st June 1997 , 1 17 26 27 30 44 47 
 Wednesday18th June 1997 , 4 14 19 23 25 48 42 
 Saturday14th June 1997 , 3 8 10 16 43 44 34 
 Wednesday11th June 1997 , 10 31 33 40 42 44 20 
 Saturday7th June 1997 , 12 14 21 25 30 40 3 
 Wednesday4th June 1997 , 18 19 21 30 34 44 6 
 Saturday31st May 1997 , 2 5 9 28 29 45 49 
 Wednesday28th May 1997 , 3 19 24 25 36 48 17 
 Saturday24th May 1997 , 3 21 23 25 26 33 24 
 Wednesday21st May 1997 , 5 8 21 38 39 49 34 
 Saturday17th May 1997 , 2 9 13 18 27 48 24 
 Wednesday14th May 1997 , 2 8 16 21 29 37 22 
 Saturday10th May 1997 , 12 19 22 23 25 44 2 
 Wednesday7th May 1997 , 12 19 28 31 34 43 40 
 Saturday3rd May 1997 , 6 20 29 31 35 40 21 
 Wednesday30th April 1997 , 8 10 16 17 24 40 13 
 Saturday26th April 1997 , 6 10 14 25 27 38 5 
 Wednesday23rd April 1997 , 8 12 17 23 34 43 36 
 Saturday19th April 1997 , 1 14 16 25 32 37 11 
 Wednesday16th April 1997 , 3 6 9 19 37 48 25 
 Saturday12th April 1997 , 9 27 29 37 42 44 21 
 Wednesday9th April 1997 , 6 22 35 42 45 49 16 
 Saturday5th April 1997 , 1 3 28 31 41 46 33 
 Wednesday2nd April 1997 , 5 10 17 25 40 43 8 
 Saturday29th March 1997 , 17 19 31 36 39 40 25 
 Wednesday26th March 1997 , 24 33 42 43 44 47 17 
 Saturday22nd March 1997 , 14 27 39 40 41 43 21 
 Wednesday19th March 1997 , 13 16 17 29 40 48 32 
 Saturday15th March 1997 , 7 24 37 39 40 43 15 
 Wednesday12th March 1997 , 3 4 5 16 22 25 12 
 Saturday8th March 1997 , 5 12 20 29 39 42 22 
 Wednesday5th March 1997 , 7 12 20 24 28 43 45 
 Saturday1st March 1997 , 2 8 23 33 42 49 14 
 Wednesday26th February 1997 , 2 34 36 38 44 46 40 
 Saturday22nd February 1997 , 1 5 8 9 23 27 22 
 Wednesday19th February 1997 , 9 11 19 36 39 41 13 
 Saturday15th February 1997 , 7 14 21 34 38 47 13 
 Wednesday12th February 1997 , 5 14 23 29 38 45 47 
 Saturday8th February 1997 , 9 13 27 30 36 47 15 
 Wednesday5th February 1997 , 9 25 28 29 31 35 37 
 Saturday1st February 1997 , 12 16 20 28 36 48 34 
 Saturday25th January 1997 , 1 24 28 31 35 47 9 
 Saturday18th January 1997 , 3 21 22 26 31 48 43 
 Saturday11th January 1997 , 4 11 16 18 35 43 39 
 Saturday4th January 1997 , 11 13 14 27 40 41 23 
 Wednesday30th December 1998 , 3 13 18 24 34 49 33 
 Saturday26th December 1998 , 2 8 11 32 35 41 4 
 Wednesday23rd December 1998 , 4 12 18 30 38 47 20 
 Saturday19th December 1998 , 9 10 18 25 28 48 34 
 Wednesday16th December 1998 , 11 19 20 24 29 40 9 
 Saturday12th December 1998 , 26 28 38 39 41 46 25 
 Wednesday9th December 1998 , 1 7 39 40 45 49 38 
 Saturday5th December 1998 , 4 7 23 26 27 35 28 
 Wednesday2nd December 1998 , 7 11 16 28 37 49 30 
 Saturday28th November 1998 , 4 25 26 30 37 45 46 
 Wednesday25th November 1998 , 4 8 30 37 39 43 31 
 Saturday21st November 1998 , 7 9 17 22 38 49 47 
 Wednesday18th November 1998 , 2 8 12 30 35 47 39 
 Saturday14th November 1998 , 7 11 12 17 23 39 42 
 Wednesday11th November 1998 , 5 11 19 25 29 49 12 
 Saturday7th November 1998 , 13 24 25 31 32 44 43 
 Wednesday4th November 1998 , 2 9 11 23 24 42 27 
 Saturday31st October 1998 , 5 9 12 14 18 38 35 
 Wednesday28th October 1998 , 1 2 7 17 31 49 41 
 Saturday24th October 1998 , 6 8 15 23 26 41 49 
 Wednesday21st October 1998 , 3 11 15 41 42 48 26 
 Saturday17th October 1998 , 3 25 36 37 41 45 9 
 Wednesday14th October 1998 , 1 2 5 15 41 45 24 
 Saturday10th October 1998 , 11 13 21 26 43 46 38 
 Wednesday7th October 1998 , 2 12 24 29 30 33 41 
 Saturday3rd October 1998 , 1 11 18 19 22 32 41 
 Wednesday30th September 1998 , 10 12 14 28 31 38 27 
 Saturday26th September 1998 , 6 15 18 29 35 40 49 
 Wednesday23rd September 1998 , 9 11 14 26 28 39 27 
 Saturday19th September 1998 , 24 26 27 28 34 40 9 
 Wednesday16th September 1998 , 18 25 28 36 40 45 43 
 Saturday12th September 1998 , 3 15 23 25 28 33 29 
 Wednesday9th September 1998 , 1 2 9 27 28 32 25 
 Saturday5th September 1998 , 9 10 11 27 42 47 8 
 Wednesday2nd September 1998 , 7 19 27 33 39 43 9 
 Saturday29th August 1998 , 10 12 37 42 44 45 20 
 Wednesday26th August 1998 , 3 20 26 27 30 43 45 
 Saturday22nd August 1998 , 2 10 11 27 32 38 6 
 Wednesday19th August 1998 , 5 27 34 44 46 48 49 
 Saturday15th August 1998 , 3 5 15 22 31 35 47 
 Wednesday12th August 1998 , 12 21 23 25 44 49 20 
 Saturday8th August 1998 , 2 5 17 21 45 47 25 
 Wednesday5th August 1998 , 13 35 38 40 42 47 34 
 Saturday1st August 1998 , 12 14 31 41 48 49 6 
 Wednesday29th July 1998 , 1 7 23 29 38 48 2 
 Saturday25th July 1998 , 18 25 36 38 43 44 19 
 Wednesday22nd July 1998 , 28 34 38 39 46 47 21 
 Saturday18th July 1998 , 3 11 20 33 42 44 36 
 Wednesday15th July 1998 , 1 15 23 31 35 39 14 
 Saturday11th July 1998 , 3 14 23 30 39 43 32 
 Wednesday8th July 1998 , 12 13 21 23 33 36 14 
 Saturday4th July 1998 , 9 15 25 29 32 49 14 
 Wednesday1st July 1998 , 17 18 28 40 44 46 29 
 Saturday27th June 1998 , 7 9 11 23 30 43 35 
 Wednesday24th June 1998 , 2 14 19 25 26 33 18 
 Saturday20th June 1998 , 1 14 27 31 38 47 32 
 Wednesday17th June 1998 , 2 10 16 17 20 27 39 
 Saturday13th June 1998 , 2 7 10 15 27 45 31 
 Wednesday10th June 1998 , 2 9 26 28 33 46 21 
 Saturday6th June 1998 , 1 15 23 31 42 48 5 
 Wednesday3rd June 1998 , 1 17 18 23 33 41 42 
 Saturday30th May 1998 , 2 3 14 29 38 40 43 
 Wednesday27th May 1998 , 8 13 15 26 39 42 33 
 Saturday23rd May 1998 , 8 20 24 35 43 47 32 
 Wednesday20th May 1998 , 11 15 31 35 36 42 10 
 Saturday16th May 1998 , 2 4 6 10 34 44 21 
 Wednesday13th May 1998 , 3 13 16 23 41 42 21 
 Saturday9th May 1998 , 2 9 25 26 35 40 47 
 Wednesday6th May 1998 , 6 7 14 19 22 27 9 
 Saturday2nd May 1998 , 2 4 16 24 29 49 47 
 Wednesday29th April 1998 , 12 15 28 34 36 40 1 
 Saturday25th April 1998 , 17 22 36 38 43 48 16 
 Wednesday22nd April 1998 , 3 7 9 10 12 37 46 
 Saturday18th April 1998 , 1 13 29 31 33 42 9 
 Wednesday15th April 1998 , 1 12 18 26 29 36 2 
 Saturday11th April 1998 , 7 10 31 35 43 44 37 
 Wednesday8th April 1998 , 9 22 37 41 43 47 14 
 Saturday4th April 1998 , 5 19 24 33 38 48 20 
 Wednesday1st April 1998 , 1 2 24 36 37 38 31 
 Saturday28th March 1998 , 11 13 23 28 29 37 8 
 Wednesday25th March 1998 , 1 6 10 25 31 45 8 
 Saturday21st March 1998 , 2 15 23 26 41 43 5 
 Wednesday18th March 1998 , 12 25 31 39 46 47 1 
 Saturday14th March 1998 , 2 15 18 26 36 38 42 
 Wednesday11th March 1998 , 16 22 23 28 33 37 17 
 Saturday7th March 1998 , 4 11 14 39 43 44 37 
 Wednesday4th March 1998 , 6 28 30 34 41 45 12 
 Saturday28th February 1998 , 1 7 15 18 30 31 9 
 Wednesday25th February 1998 , 9 21 27 36 42 48 13 
 Saturday21st February 1998 , 2 16 25 27 37 45 10 
 Wednesday18th February 1998 , 1 5 10 13 25 32 48 
 Saturday14th February 1998 , 8 13 14 17 20 28 10 
 Wednesday11th February 1998 , 11 32 38 42 46 49 26 
 Saturday7th February 1998 , 9 25 27 31 42 45 24 
 Wednesday4th February 1998 , 13 17 32 35 42 45 20 
 Saturday31st January 1998 , 17 22 30 40 46 48 10 
 Wednesday28th January 1998 , 4 12 15 31 32 47 14 
 Saturday24th January 1998 , 1 4 6 14 24 49 22 
 Wednesday21st January 1998 , 5 12 24 35 36 38 34 
 Saturday17th January 1998 , 14 31 33 38 46 48 26 
 Wednesday14th January 1998 , 20 27 28 31 33 41 38 
 Saturday10th January 1998 , 3 10 11 27 47 49 8 
 Wednesday7th January 1998 , 7 14 25 32 36 38 44 
 Saturday3rd January 1998 , 1 13 26 28 35 45 30 
 Wednesday29th December 1999 , 16 26 33 36 39 47 43 
 Friday24th December 1999 , 2 21 23 24 25 35 38 
 Wednesday22nd December 1999 , 29 32 39 46 47 49 24 
 Saturday18th December 1999 , 6 7 12 13 18 29 25 
 Wednesday15th December 1999 , 4 9 16 35 43 44 27 
 Saturday11th December 1999 , 5 9 27 37 43 46 28 
 Wednesday8th December 1999 , 7 10 11 26 31 33 39 
 Saturday4th December 1999 , 16 23 25 31 35 47 48 
 Wednesday1st December 1999 , 28 36 37 38 42 47 23 
 Saturday27th November 1999 , 8 10 22 46 47 49 32 
 Wednesday24th November 1999 , 1 12 16 33 34 44 37 
 Saturday20th November 1999 , 7 9 15 20 29 34 6 
 Wednesday17th November 1999 , 2 6 23 31 33 36 20 
 Saturday13th November 1999 , 7 10 21 28 29 39 2 
 Wednesday10th November 1999 , 2 10 18 19 28 35 26 
 Saturday6th November 1999 , 8 10 23 34 36 46 2 
 Wednesday3rd November 1999 , 3 22 25 31 35 37 48 
 Saturday30th October 1999 , 10 15 17 27 44 47 14 
 Wednesday27th October 1999 , 4 9 13 22 25 32 3 
 Saturday23rd October 1999 , 4 8 10 15 25 39 49 
 Wednesday20th October 1999 , 9 18 27 29 33 43 48 
 Saturday16th October 1999 , 11 25 27 31 40 41 12 
 Wednesday13th October 1999 , 3 19 23 29 33 34 10 
 Saturday9th October 1999 , 8 15 26 29 38 46 12 
 Wednesday6th October 1999 , 9 13 19 21 30 45 37 
 Saturday2nd October 1999 , 3 14 28 37 38 49 33 
 Wednesday29th September 1999 , 1 3 8 33 39 43 49 
 Saturday25th September 1999 , 18 20 26 30 43 49 36 
 Wednesday22nd September 1999 , 6 16 21 28 37 44 15 
 Saturday18th September 1999 , 5 11 15 18 23 33 38 
 Wednesday15th September 1999 , 9 14 27 30 32 49 3 
 Saturday11th September 1999 , 2 4 16 21 29 46 5 
 Wednesday8th September 1999 , 8 10 17 22 36 38 34 
 Saturday4th September 1999 , 3 5 7 10 14 20 16 
 Wednesday1st September 1999 , 3 5 19 27 39 49 15 
 Saturday28th August 1999 , 6 14 15 17 27 47 29 
 Wednesday25th August 1999 , 1 8 20 22 36 48 11 
 Saturday21st August 1999 , 12 15 16 17 42 48 45 
 Wednesday18th August 1999 , 6 8 13 34 38 45 17 
 Saturday14th August 1999 , 1 9 18 24 38 44 26 
 Wednesday11th August 1999 , 1 15 22 38 39 48 25 
 Saturday7th August 1999 , 4 7 19 22 24 46 47 
 Wednesday4th August 1999 , 3 4 9 29 31 36 41 
 Saturday31st July 1999 , 12 26 27 32 46 49 42 
 Wednesday28th July 1999 , 3 14 30 32 46 49 10 
 Saturday24th July 1999 , 8 25 26 37 38 48 24 
 Wednesday21st July 1999 , 12 17 26 32 33 46 4 
 Saturday17th July 1999 , 3 15 23 42 45 48 46 
 Wednesday14th July 1999 , 1 15 21 37 41 42 43 
 Saturday10th July 1999 , 5 7 15 26 35 40 45 
 Wednesday7th July 1999 , 4 6 8 41 43 44 28 
 Saturday3rd July 1999 , 11 17 28 36 42 44 37 
 Wednesday30th June 1999 , 2 14 19 25 32 49 31 
 Saturday26th June 1999 , 2 17 18 23 30 40 43 
 Wednesday23rd June 1999 , 8 11 18 30 33 43 34 
 Saturday19th June 1999 , 4 6 20 24 41 42 38 
 Wednesday16th June 1999 , 17 21 25 37 38 45 5 
 Saturday12th June 1999 , 3 18 21 23 36 49 47 
 Wednesday9th June 1999 , 8 10 12 34 46 48 20 
 Saturday5th June 1999 , 11 20 24 28 35 48 33 
 Wednesday2nd June 1999 , 17 23 27 34 36 37 12 
 Saturday29th May 1999 , 3 7 9 12 43 44 45 
 Wednesday26th May 1999 , 14 22 26 29 33 46 10 
 Saturday22nd May 1999 , 8 11 14 24 26 49 45 
 Wednesday19th May 1999 , 1 2 5 27 38 49 41 
 Saturday15th May 1999 , 4 14 18 24 27 40 33 
 Wednesday12th May 1999 , 8 9 26 29 38 47 44 
 Saturday8th May 1999 , 1 12 24 31 33 47 7 
 Wednesday5th May 1999 , 7 13 17 22 39 44 18 
 Saturday1st May 1999 , 7 20 24 31 33 40 49 
 Wednesday28th April 1999 , 15 23 24 36 43 49 11 
 Saturday24th April 1999 , 3 8 11 25 46 47 30 
 Wednesday21st April 1999 , 3 12 22 31 44 46 45 
 Saturday17th April 1999 , 3 16 28 29 41 46 6 
 Wednesday14th April 1999 , 5 9 12 25 30 32 38 
 Saturday10th April 1999 , 10 18 25 32 35 36 2 
 Wednesday7th April 1999 , 10 15 23 27 29 46 38 
 Saturday3rd April 1999 , 3 7 9 15 40 43 11 
 Wednesday31st March 1999 , 1 5 12 24 26 38 11 
 Saturday27th March 1999 , 9 25 30 36 44 48 2 
 Wednesday24th March 1999 , 13 21 27 32 45 48 22 
 Saturday20th March 1999 , 13 17 25 29 45 49 28 
 Wednesday17th March 1999 , 1 7 29 38 45 46 35 
 Saturday13th March 1999 , 1 2 15 17 24 44 22 
 Wednesday10th March 1999 , 8 18 27 32 36 49 46 
 Saturday6th March 1999 , 8 32 33 37 43 47 45 
 Wednesday3rd March 1999 , 20 22 24 25 36 40 1 
 Saturday27th February 1999 , 1 7 13 15 38 43 47 
 Wednesday24th February 1999 , 2 3 13 27 34 48 41 
 Saturday20th February 1999 , 3 9 17 23 29 40 44 
 Wednesday17th February 1999 , 2 22 31 32 40 42 33 
 Saturday13th February 1999 , 5 23 26 27 47 49 48 
 Wednesday10th February 1999 , 2 20 21 33 35 49 32 
 Saturday6th February 1999 , 2 17 23 38 40 49 10 
 Wednesday3rd February 1999 , 3 16 18 24 39 47 17 
 Saturday30th January 1999 , 7 19 32 37 40 44 47 
 Wednesday27th January 1999 , 2 3 6 20 21 22 11 
 Saturday23rd January 1999 , 1 8 10 17 32 47 2 
 Wednesday20th January 1999 , 4 8 14 19 28 40 12 
 Saturday16th January 1999 , 11 26 28 32 41 42 44 
 Wednesday13th January 1999 , 6 25 27 35 42 48 15 
 Saturday9th January 1999 , 1 15 23 34 37 40 45 
 Wednesday6th January 1999 , 2 11 18 21 23 47 27 
 Saturday2nd January 1999 , 4 31 33 38 41 46 22 
 Saturday30th December 2000 , 1 7 16 18 38 47 10 
 Wednesday27th December 2000 , 9 24 26 36 37 42 25 
 Saturday23rd December 2000 , 2 16 17 23 37 38 6 
 Wednesday20th December 2000 , 5 8 39 41 46 49 13 
 Saturday16th December 2000 , 17 21 26 29 34 39 37 
 Wednesday13th December 2000 , 3 12 23 34 38 39 11 
 Saturday9th December 2000 , 11 16 25 31 32 33 23 
 Wednesday6th December 2000 , 6 10 13 19 27 47 25 
 Saturday2nd December 2000 , 2 19 28 37 46 47 38 
 Wednesday29th November 2000 , 7 19 28 30 33 37 29 
 Saturday25th November 2000 , 3 6 20 42 43 48 30 
 Wednesday22nd November 2000 , 4 12 20 23 31 33 16 
 Saturday18th November 2000 , 6 9 11 21 27 43 17 
 Wednesday15th November 2000 , 13 19 28 31 41 44 6 
 Saturday11th November 2000 , 18 23 28 34 35 47 11 
 Wednesday8th November 2000 , 2 5 9 16 27 43 28 
